id,name,source,dzielnica,address,lat,lng,padel_courts_total,hours_weekday,hours_weekend,amenities,website,phone
ko_toro-padel,Toro Padel,kluby_org,Bemowo,,,,,,,[],https://kluby.org/toro-padel,
pt_loba-padel,Loba Padel,playtomic,Białołęka,03-032,,,,06:00 - 23:00,06:00 - 23:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Snack Bar"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/loba-padel,
ko_sporteum,Sporteum,kluby_org,Białołęka,,,,,,,[],https://kluby.org/sporteum,
pt_warsaw-padel-club,Warsaw Padel Club,playtomic,Białołęka,03-236,,,,06:00 - 01:00,06:00 - 01:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/warsaw-padel-club,
pt_warsaw-padel-club-squash,Warsaw Padel Club – Squash,playtomic,Białołęka,03-236,,,,07:00 - 01:00,07:00 - 01:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/warsaw-padel-club-squash,
pt_rqt-spot,RQT Spot,playtomic,Bielany,05-080,,,,07:00 - 00:00,07:00 - 00:00,"[""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rqt-spot,
pt_interpadel-warszawa,Interpadel Warszawa,playtomic,Mokotów,02-690,,,,06:00 - 02:00,06:00 - 02:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers""]",https://playtomic.com/clubs/interpadel-warszawa,
ko_mera,WKT Mera,kluby_org,Ochota,,,,,,,[],https://kluby.org/mera,
pt_rakiety-pge-narodowy,Rakiety PGE Narodowy,playtomic,Praga Południe,03-901,,,,07:00 - 23:00,07:00 - 23:00,"[""Disabled Access"", ""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Store"", ""Cafeteria"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rakiety-pge-narodowy,
ko_decathlon,DECATHLON Targówek,kluby_org,Targówek,,,,,,,[],https://kluby.org/decathlon,
ko_tenes,TENES Klub Sportowy,kluby_org,Ursus,,,,,,,[],https://kluby.org/tenes,
ko_padlovnia,Padlovnia,kluby_org,Ursynów,,,,,,,[],https://kluby.org/padlovnia,
pt_san-padel,San Padel,playtomic,Ursynów,05-500,,,,00:00 - 00:00,00:00 - 00:00,"[""Disabled Access"", ""Free Parking"", ""Private Parking"", ""Store"", ""Restaurant"", ""Cafeteria"", ""Snack Bar"", ""Vending Machine"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/san-padel,
ko_miedzeszyn,Klub Miedzeszyn,kluby_org,Wawer,,,,,,,[],https://kluby.org/miedzeszyn,
ko_aerosquash,Rakiety Aero,kluby_org,Wawer,,,,,,,[],https://kluby.org/aerosquash,
pt_rakiety-squash-padel-outdoor,Rakiety Aero Padel Outdoor,playtomic,Wawer,03-994,,,,08:00 - 21:30,08:00 - 21:30,"[""Equipment Rental"", ""Free Parking"", ""Private Parking"", ""Cafeteria"", ""Changing Room"", ""Lockers"", ""WiFi""]",https://playtomic.com/clubs/rakiety-squash-padel-outdoor,
ko_happy-padel,Happy Padel,kluby_org,Wesoła,,,,,,,[],https://kluby.org/happy-padel,
ko_mana-padel,Mana Padel,kluby_org,Wilanów,,,,,,,[],https://kluby.org/mana-padel,
ko_sinus,Sinus Sport Club,kluby_org,Wilanów,,,,,,,[],https://kluby.org/sinus,
ko_teniswil,TenisWil,kluby_org,Wilanów,,,,,,,[],https://kluby.org/teniswil,
ko_propadel,ProPadel Jutrzenki,kluby_org,Włochy,,,,,,,[],https://kluby.org/propadel,
ko_bulwary-wislane,Padel4All Bulwary,kluby_org,Śródmieście,,,,,,,[],https://kluby.org/bulwary-wislane,
