klub,court_name,surface_type,court_format,court_style
Interpadel Warszawa,"AQUA Carpatica kort 312 options•Starting at 11:00 until 23:3011:001 options11:00 - 12:00•60 min•196,",unknown,double,standard
Interpadel Warszawa,"OSHEE kort 59 options•Starting at 13:30 until 23:3013:301 options13:30 - 14:30•60 min•196,00 złBook2",unknown,double,standard
Interpadel Warszawa,"PORTICO kort 29 options•Starting at 11:00 until 23:3011:001 options11:00 - 12:00•60 min•196,00 złBoo",unknown,double,standard
Interpadel Warszawa,"RECMAN kort 814 options•Starting at 12:30 until 23:3012:302 options12:30 - 13:30•60 min•196,00 złBoo",unknown,double,standard
Interpadel Warszawa,"TRUE kort 714 options•Starting at 12:30 until 23:3012:302 options12:30 - 13:30•60 min•196,00 złBook1",unknown,double,standard
Interpadel Warszawa,kort 10 SingielNo slots available,unknown,double,standard
Interpadel Warszawa,"kort 11 Singiel3 options•Starting at 23:00 until 23:0023:003 options23:00 - 00:00•60 min•86,00 złBoo",unknown,double,standard
Interpadel Warszawa,"kort 19 options•Starting at 11:00 until 23:3011:001 options11:00 - 12:00•60 min•196,00 złBook22:303 ",unknown,double,standard
Interpadel Warszawa,"kort 48 options•Starting at 22:30 until 23:3022:303 options22:30 - 23:30•60 min•140,00 złBook22:30 -",unknown,double,standard
Interpadel Warszawa,"kort 612 options•Starting at 13:30 until 23:3013:301 options13:30 - 14:30•60 min•196,00 złBook22:003",unknown,double,standard
Interpadel Warszawa,"kort 920 options•Starting at 12:30 until 23:3012:302 options12:30 - 13:30•60 min•196,00 złBook12:30 ",unknown,double,standard
Loba Padel,"Padel 148 options•Starting at 14:00 until 22:0014:003 options14:00 - 15:00•60 min•200,00 złBook14:00",unknown,double,standard
Loba Padel,"Padel 233 options•Starting at 14:00 until 22:0014:003 options14:00 - 15:00•60 min•200,00 złBook14:00",unknown,double,standard
Loba Padel,"Padel 336 options•Starting at 10:30 until 22:0010:302 options10:30 - 11:30•60 min•200,00 złBook10:30",unknown,double,standard
Loba Padel,"Padel 451 options•Starting at 10:30 until 22:0010:303 options10:30 - 11:30•60 min•200,00 złBook10:30",unknown,double,standard
Loba Padel,"Padel 554 options•Starting at 10:30 until 22:0010:303 options10:30 - 11:30•60 min•200,00 złBook10:30",unknown,double,standard
Loba Padel,"Padel 645 options•Starting at 10:30 until 22:0010:303 options10:30 - 11:30•60 min•200,00 złBook10:30",unknown,double,standard
Loba Padel,"Padel 745 options•Starting at 10:30 until 22:0010:303 options10:30 - 11:30•60 min•200,00 złBook10:30",unknown,double,standard
Loba Padel,"Padel 837 options•Starting at 12:00 until 22:0012:001 options12:00 - 13:00•60 min•200,00 złBook16:00",unknown,double,standard
RQT Spot,"Padel 1 (kryty)9 options•Starting at 10:30 until 22:3010:302 options10:30 - 11:30•60 min•160,00 złBo",unknown,double,standard
RQT Spot,"Padel 2 (kryty)30 options•Starting at 17:00 until 23:0017:004 options17:00 - 18:00•60 min•160,00 złB",unknown,double,standard
RQT Spot,"Padel 3 (kryty)25 options•Starting at 12:00 until 23:0012:004 options12:00 - 13:00•60 min•160,00 złB",unknown,double,standard
