klub,dzielnica,court_name,surface_type,court_format,court_style
Toro Padel,Bemowo,"DoPadla.pl Kort 3
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 1
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 2
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 4
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 5
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 6
 Padel",indoor,double,standard
Loba Padel,Białołęka,Padel 1,indoor,double,panoramic
Loba Padel,Białołęka,Padel 2,indoor,double,panoramic
Loba Padel,Białołęka,Padel 3,indoor,double,panoramic
Loba Padel,Białołęka,Padel 4,indoor,double,panoramic
Loba Padel,Białołęka,Padel 5,indoor,double,panoramic
Loba Padel,Białołęka,Padel 6,indoor,double,panoramic
Loba Padel,Białołęka,Padel 7,indoor,double,panoramic
Loba Padel,Białołęka,Padel 8,indoor,double,panoramic
Sporteum,Białołęka,"Padel 1
 Padel",indoor,double,standard
Sporteum,Białołęka,"Padel 2
 Padel",indoor,double,standard
Warsaw Padel Club,Białołęka,1 - Full Panoramic,indoor,double,panoramic
Warsaw Padel Club,Białołęka,10 - Full Panoramic,indoor,double,panoramic
Warsaw Padel Club,Białołęka,11 - Single Full Panoramic,indoor,single,panoramic
Warsaw Padel Club,Białołęka,2 - Full Panoramic,indoor,double,panoramic
Warsaw Padel Club,Białołęka,3 - LaCava - palarnia kawy specialty,indoor,double,panoramic
Warsaw Padel Club,Białołęka,4 - Bombilla Yerba Mate,indoor,double,panoramic
Warsaw Padel Club,Białołęka,5 - Full Panoramic,indoor,double,panoramic
Warsaw Padel Club,Białołęka,6 - Jaguar,indoor,double,panoramic
Warsaw Padel Club,Białołęka,7 - OYSHO,indoor,double,panoramic
Warsaw Padel Club,Białołęka,8 - 4FLEX,indoor,double,panoramic
Warsaw Padel Club,Białołęka,9 - AZZARO x Douglas,indoor,double,panoramic
RQT Spot,Bielany,Padel 1 (kryty),indoor,double,crystal
RQT Spot,Bielany,Padel 10 (zewnętrzny) 1,outdoor,double,crystal
RQT Spot,Bielany,Padel 2 (kryty),indoor,double,crystal
RQT Spot,Bielany,Padel 3 (kryty),indoor,double,panoramic
RQT Spot,Bielany,Padel 4 (kryty),indoor,double,panoramic
RQT Spot,Bielany,Padel 5 (zewnętrzny),outdoor,double,crystal
RQT Spot,Bielany,Padel 6 (zewnętrzny),outdoor,double,crystal
RQT Spot,Bielany,Padel 7 Single (kryty),indoor,single,crystal
RQT Spot,Bielany,Padel 8 Single (kryty),indoor,single,crystal
RQT Spot,Bielany,Padel 9 (zewnętrzny) 1,outdoor,double,crystal
Interpadel Warszawa,Mokotów, kort 1,indoor,double,panoramic
Interpadel Warszawa,Mokotów,AQUA Carpatica kort 3,indoor,double,crystal
Interpadel Warszawa,Mokotów,OSHEE kort 5,indoor,double,crystal
Interpadel Warszawa,Mokotów,RECMAN kort 8,indoor,double,crystal
Interpadel Warszawa,Mokotów,TRUE kort 7,indoor,double,crystal
Interpadel Warszawa,Mokotów,WAAY kort 9,indoor,double,crystal
Interpadel Warszawa,Mokotów,kort 10 Singiel,indoor,single,crystal
Interpadel Warszawa,Mokotów,kort 11 Singiel,indoor,single,crystal
Interpadel Warszawa,Mokotów,kort 2,indoor,double,crystal
Interpadel Warszawa,Mokotów,kort 4,indoor,double,crystal
