klub,dzielnica,source,price_type,day_type,time_slot,hour_from,hour_to,price_pln,duration_min,description
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,140.0,60,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,280.0,120,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,238.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,210.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,86.0,60,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,129.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,172.0,120,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,138.0,60,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,207.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,276.0,120,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,168.0,60,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,336.0,120,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,266.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,196.0,60,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,181.0,90,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,308.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,120.0,60,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,180.0,90,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,240.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,280.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,220.0,90,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,320.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,160.0,60,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,260.0,90,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,360.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,200.0,60,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,300.0,90,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,400.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,340.0,120,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,240.0,90,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,140.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,109.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,159.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,218.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,269.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,213.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,160.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,119.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,239.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,79.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,119.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,158.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,238.0,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,125.33,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,89.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,159.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,243.5,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,186.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,134.5,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,320.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,240.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,299.75,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,139.5,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,192.67,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,169.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,244.33,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,250.67,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,168.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,257.0,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,178.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,263.33,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,84.0,60,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,131.67,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,188.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,269.67,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,138.0,90,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,198.0,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,276.0,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,269.83,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,263.67,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,188.25,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,257.5,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,178.5,120,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,251.33,180,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,168.75,120,cena z Playtomic API
