klub,dzielnica,source,price_type,day_type,time_slot,hour_from,hour_to,cena_oryginalna,duration_min,cena_za_godzine,description
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,140.0,60,140.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,210.0,90,140.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,280.0,120,140.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,196.0,60,196.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,112.0,60,112.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,86.0,60,86.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,court,all,all,,,129.0,90,86.0,cena z Playtomic API
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,100.0,60,100.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,120.0,60,120.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,140.0,60,140.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,160.0,60,160.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,court,all,all,,,180.0,60,180.0,cena z kluby.org
Loba Padel,Białołęka,playtomic,court,all,all,,,200.0,60,200.0,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,300.0,90,200.0,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,400.0,120,200.0,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,340.0,120,170.0,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,240.0,90,160.0,cena z Playtomic API
Loba Padel,Białołęka,playtomic,court,all,all,,,140.0,60,140.0,cena z Playtomic API
Mana Padel,Wilanów,kluby_org,court,all,all,,,106.66,60,107.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,court,all,all,,,132.0,60,132.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,court,all,all,,,140.0,60,140.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,court,all,all,,,184.0,60,184.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,court,all,all,,,200.0,60,200.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,court,all,all,,,300.0,60,300.0,cena z kluby.org
Padel4All Bulwary,Śródmieście,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,court,all,all,,,100.0,60,100.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,court,all,all,,,120.0,60,120.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,court,all,all,,,140.0,60,140.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,court,all,all,,,160.0,60,160.0,cena z kluby.org
ProPadel Jutrzenki,Włochy,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
RQT Spot,Bielany,playtomic,court,all,all,,,134.5,60,135.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,213.0,90,142.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,160.0,60,160.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,320.0,120,160.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,240.0,90,160.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,119.0,60,119.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,294.5,120,147.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,480.0,180,160.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,456.5,180,152.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,433.0,180,144.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,299.75,120,150.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,216.33,90,144.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,279.5,120,140.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,386.0,180,129.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,139.5,60,140.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,192.67,90,128.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,239.0,120,120.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,169.0,90,113.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,79.0,60,79.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,119.0,90,79.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,159.0,120,80.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,89.0,60,89.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,131.67,90,88.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,178.5,120,89.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,court,all,all,,,251.33,180,84.0,cena z Playtomic API
Rakiety Aero - Padel Outdoor,Wawer,playtomic,court,all,all,,,240.0,90,160.0,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,160.0,60,160.0,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,240.0,90,160.0,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,court,all,all,,,320.0,120,160.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,200.0,60,200.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,300.0,90,200.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,400.0,120,200.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,150.0,60,150.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,225.0,90,150.0,cena z Playtomic API
San Padel,Ursynów,playtomic,court,all,all,,,300.0,120,150.0,cena z Playtomic API
Sinus Sport Club,Wilanów,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,court,all,all,,,65.0,60,65.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,court,all,all,,,85.0,60,85.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,court,all,all,,,110.0,60,110.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,court,all,all,,,130.0,60,130.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,65.0,60,65.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,70.0,60,70.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,75.0,60,75.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,90.0,60,90.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,110.0,60,110.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,115.0,60,115.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,court,all,all,,,120.0,60,120.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,court,all,all,,,100.0,60,100.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,court,all,all,,,100.0,60,100.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,court,all,all,,,120.0,60,120.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,court,all,all,,,160.0,60,160.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,court,all,all,,,80.0,60,80.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,court,all,all,,,100.0,60,100.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,court,all,all,,,120.0,60,120.0,cena z kluby.org
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,144.0,60,144.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,224.0,120,112.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,212.0,60,212.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,152.0,90,101.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,126.0,60,126.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,318.0,90,212.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,390.0,120,195.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,178.0,60,178.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,250.0,90,167.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,322.0,120,161.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,216.0,90,144.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,424.0,120,212.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,284.0,90,189.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,court,all,all,,,356.0,120,178.0,cena z Playtomic API
