klub,dzielnica,source,cena_za_godzine,description
Interpadel Warszawa,Mokotów,playtomic,86.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,138.0,cena z Playtomic API
Interpadel Warszawa,Mokotów,playtomic,140.0,cena z Playtomic API
Klub Miedzeszyn,Wawer,kluby_org,80.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,100.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,120.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,140.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,160.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,180.0,cena z kluby.org
Loba Padel,Białołęka,playtomic,200.0,cena z Playtomic API
Mana Padel,Wilanów,kluby_org,107.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,132.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,140.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,184.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,200.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,300.0,cena z kluby.org
Padel4All Bulwary,Śródmieście,kluby_org,80.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,100.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,120.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,140.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,160.0,cena z kluby.org
ProPadel Jutrzenki,Włochy,kluby_org,80.0,cena z kluby.org
Rakiety Aero - Padel Outdoor,Wawer,playtomic,160.0,cena z Playtomic API
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,160.0,cena z Playtomic API
San Padel,Ursynów,playtomic,150.0,cena z Playtomic API
San Padel,Ursynów,playtomic,200.0,cena z Playtomic API
Sporteum,Białołęka,kluby_org,65.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,85.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,110.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,130.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,65.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,70.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,75.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,80.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,90.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,110.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,115.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,120.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,80.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,100.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,80.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,100.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,120.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,160.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,80.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,100.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,120.0,cena z kluby.org
Warsaw Padel Club,Białołęka,playtomic,97.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,104.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,126.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,141.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,144.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,152.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,182.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,192.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,197.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,212.0,cena z Playtomic API
