klub,pora_dnia,nawierzchnia,slotow_lacznie,zajete,oblozenie_pct
Interpadel Warszawa,rano (6-10),unknown,6,3,50.0
Interpadel Warszawa,poludnie (10-14),unknown,6,3,50.0
Interpadel Warszawa,popoludnie (14-18),unknown,2,1,50.0
Loba Padel,rano (6-10),unknown,2,1,50.0
Loba Padel,poludnie (10-14),unknown,10,5,50.0
Loba Padel,popoludnie (14-18),unknown,4,2,50.0
RQT Spot,rano (6-10),unknown,2,1,50.0
RQT Spot,poludnie (10-14),unknown,8,4,50.0
RQT Spot,popoludnie (14-18),unknown,2,1,50.0
RQT Spot,wieczor (18-22),unknown,4,2,50.0
Rakiety PGE Narodowy,rano (6-10),unknown,6,3,50.0
Rakiety PGE Narodowy,poludnie (10-14),unknown,6,3,50.0
Rakiety PGE Narodowy,popoludnie (14-18),unknown,4,2,50.0
Warsaw Padel Club,rano (6-10),unknown,6,3,50.0
Warsaw Padel Club,poludnie (10-14),unknown,8,4,50.0
Warsaw Padel Club,popoludnie (14-18),unknown,2,1,50.0
