klub,dzielnica,source,nawierzchnia,korty_padlowe,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address,slotow_max
Toro Padel,Bemowo,kluby_org,indoor,6,120.0,160.0,140.0,,,0,,ul. Kazubów 14 (Bemowo),304
Loba Padel,Białołęka,playtomic,indoor,8,160.0,160.0,160.0,06:00-23:00,06:00-23:00,280,30.7,"Smugowa 44, 03-032",312
Sporteum,Białołęka,kluby_org,indoor,2,110.0,130.0,120.0,,,0,,ul. Zawiślańska 27 (Białołęka),120
Warsaw Padel Club,Białołęka,playtomic,indoor,11,97.0,212.0,167.0,06:00-01:00,06:00-01:00,396,82.1,"Annopol 3, 03-236",451
RQT Spot,Bielany,playtomic,indoor,6,86.0,160.0,124.0,07:00-00:00,07:00-00:00,210,64.8,"Estrady 13K, 05-080",312
RQT Spot,Bielany,playtomic,outdoor,2,86.0,160.0,124.0,07:00-00:00,07:00-00:00,70,70.0,"Estrady 13K, 05-080",312
Interpadel Warszawa,Mokotów,playtomic,indoor,11,86.0,196.0,148.0,06:00-02:00,06:00-02:00,396,89.1,"Bokserska 66A, 02-690",451
WKT Mera,Ochota,kluby_org,indoor,2,120.0,120.0,120.0,,,0,,al. Bohaterów Września 12 (Ochota),126
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,outdoor,5,160.0,160.0,160.0,07:00-23:00,07:00-23:00,165,87.9,"al. Księcia Józefa Poniatowskiego 1, 03-901",185
TENES Klub Sportowy,Ursus,kluby_org,indoor,3,70.0,110.0,90.0,,,0,,ul. Piwna 13 (Ursus),173
Padlovnia,Ursynów,kluby_org,indoor,7,100.0,160.0,130.0,,,0,,ul. Karnawał 8 (Ursynów),354
Padlovnia,Ursynów,kluby_org,outdoor,4,100.0,160.0,130.0,,,0,,ul. Karnawał 8 (Ursynów),354
San Padel,Ursynów,playtomic,indoor,12,150.0,200.0,175.0,00:00-00:00,00:00-00:00,588,47.1,"Przedsiębiorców 1, 05-500",612
Klub Miedzeszyn,Wawer,kluby_org,indoor,2,120.0,140.0,130.0,,,0,,ul. Bielika 17 (Wawer),92
Rakiety Aero - Padel Outdoor,Wawer,playtomic,outdoor,1,160.0,160.0,160.0,08:00-21:30,08:00-21:30,28,82.1,"Wał Miedzeszyński 646, 03-994",32
Mana Padel,Wilanów,kluby_org,indoor,8,132.0,200.0,164.0,,,0,,ul. Zawodzie 24 (Wilanów),318
TenisWil,Wilanów,kluby_org,outdoor,3,80.0,100.0,90.0,,,0,,ul. Przyczółkowa 210C (Wilanów),154
ProPadel Jutrzenki,Włochy,kluby_org,indoor,5,80.0,80.0,80.0,,,0,,ul. Jutrzenki 12 (Włochy),360
Padel4All Bulwary,Śródmieście,kluby_org,indoor,1,80.0,80.0,80.0,,,0,,,66
