date,n_clubs,n_slots,n_booked,occupancy_pct,price_min,price_max,price_avg
2026-05-31,22,1116,202,18.1,50.0,280.0,121.0
2026-05-31,24,2144,360,16.8,,,
2026-06-01,22,3091,1398,45.2,79.0,400.0,211.0
2026-06-01,22,3291,1441,43.8,79.0,212.0,134.0
2026-06-01,22,3494,1486,42.5,79.0,212.0,134.0
2026-06-01,22,3697,1531,41.4,40.0,300.0,125.0
2026-06-01,21,3934,1583,40.2,65.0,300.0,130.0
2026-06-01,21,4270,1654,38.7,65.0,300.0,128.0
2026-06-01,21,5273,1862,35.3,65.0,300.0,120.0
2026-06-02,21,1340,548,40.9,65.0,300.0,126.0
2026-06-03,21,1333,478,35.9,65.0,300.0,125.0
2026-06-04,21,1766,793,44.9,65.0,300.0,135.0
2026-06-04,21,2654,982,37.0,65.0,300.0,116.0
2026-06-05,21,982,132,13.4,65.0,300.0,116.0
2026-06-05,21,1950,302,15.5,65.0,300.0,118.0
